"brand","model","cores","base_clock","boost_clock","tdp","integrated_graphics","multithreading","price"
"AMD","Phenom II X4 820",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"74.57\"]"
"AMD","Phenom II X4 830",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"74.48\"]"
"AMD","Phenom II X4 840",4,"{\"cycles\":3200000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 905e",4,"{\"cycles\":2500000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 910",4,"{\"cycles\":2600000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 910e",4,"{\"cycles\":2600000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 920",4,"{\"cycles\":2800000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 925",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 940 Black",4,"{\"cycles\":3000000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 945",4,"{\"cycles\":3000000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 955",4,"{\"cycles\":3200000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 955 Black",4,"{\"cycles\":3200000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 960T Black",4,"{\"cycles\":3000000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 965",4,"{\"cycles\":3400000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 965 Black",4,"{\"cycles\":3400000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 965 Black (140W)",4,"{\"cycles\":3400000000}",null,140,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 970",4,"{\"cycles\":3500000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 970 Black",4,"{\"cycles\":3500000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
"AMD","Phenom II X4 975",4,"{\"cycles\":3600000000}",null,125,null,false,"[\"USD\",\"172.56\"]"
"AMD","Phenom II X4 975",4,"{\"cycles\":3600000000}",null,125,null,false,"[\"USD\",\"0.00\"]"
